Date,SPY,BND
2005-01-16,-0.0016882183497622938,
2005-01-23,-0.012347982243444688,
2005-01-30,0.005566197753279489,
2005-02-06,0.023844284668578908,
2005-02-13,0.004491074132035866,
2005-02-20,-0.0031461032572921432,
2005-02-27,0.008638410538456265,
2005-03-06,0.01070562724568247,
2005-03-13,-0.019065941876568293,
2005-03-20,-0.011499176776787023,
2005-03-27,-0.011810915798243005,
2005-04-03,0.0024756121278237675,
2005-04-10,0.004854049905969715,
2005-04-17,-0.03262717362568657,
2005-04-24,0.012439827128837289,
2005-05-01,0.0015574510175191403,
2005-05-08,0.011576975009770507,
2005-05-15,-0.01170054405160148,
2005-05-22,0.02938119180477683,
2005-05-29,0.009486246818766197,
2005-06-05,-0.0008309531205115128,
2005-06-12,0.000415494853997167,
2005-06-19,0.013725915699668523,
2005-06-26,-0.019611241567132898,
2005-07-03,0.004622037996026007,
2005-07-10,0.014976006751394877,
2005-07-17,0.012528707509819048,
2005-07-24,0.005698374691725849,
2005-07-31,0.0016186621154907765,
2005-08-07,-0.006949821821697233,
2005-08-14,0.0014651030766619222,
2005-08-21,-0.004794281919632937,
2005-08-28,-0.013962922671640343,
2005-09-04,0.012504258403984059,
2005-09-11,0.019056258021585393,
2005-09-18,-0.0046091353547620395,
2005-09-25,-0.01668009442097329,
2005-10-02,0.013175086368818034,
2005-10-09,-0.027877140797063826,
2005-10-16,-0.007859382633427336,
2005-10-23,-0.0045498814931617115,
2005-10-30,0.014136808345975638,
2005-11-06,0.01928199935683894,
2005-11-13,0.013513003080157127,
2005-11-20,0.011069092573323225,
2005-11-27,0.015983812030947453,
2005-12-04,-0.0022022466947457797,
2005-12-11,-0.004099616158308894,
2005-12-18,0.0055396001822340946,
2005-12-25,0.003165562496881158,
2006-01-01,-0.017749509864991575,
2006-01-08,0.03156334408619088,
2006-01-15,0.0018685440921528684,
2006-01-22,-0.02106028646950231,
2006-01-29,0.020401890121553024,
2006-02-05,-0.017659939473017583,
2006-02-12,0.0029300611903149143,
2006-02-19,0.01713547635080581,
2006-02-26,0.0046583725352438154,
2006-03-05,-0.005023248947124137,
2006-03-12,-0.0013202916519094998,
2006-03-19,0.019826161597924052,
2006-03-26,-0.0031386705747161736,
2006-04-02,-0.0029185637797486397,
2006-04-09,-0.00223367456555279,
2006-04-16,-0.006407218840795426,
2006-04-23,0.018957368326309343,
2006-04-30,0.002439954315032633,
2006-05-07,0.007986828273872426,
2006-05-14,-0.02475126787870141,
2006-05-21,-0.01655863109485678,
2006-05-28,0.010071161819906305,
2006-06-04,0.0048294881743358165,
2006-06-11,-0.02829498483476023,
2006-06-18,-0.0011888950980818436,
2006-06-25,-0.0016842965007206612,
2006-07-02,0.02282175797074304,
2006-07-09,-0.005264064494654774,
2006-07-16,-0.02440540422305182,
2006-07-23,0.003481262988119127,
2006-07-30,0.03251333240001286,
2006-08-06,0.001718527326928676,
2006-08-13,-0.009281854474696982,
2006-08-20,0.028973956604608775,
2006-08-27,-0.006733333731359092,
2006-09-03,0.012402602921988581,
2006-09-10,-0.008674531952497233,
2006-09-17,0.01734996546945311,
2006-09-24,-0.0037135584226062335,
2006-10-01,0.016049534884320815,
2006-10-08,0.010705119352501402,
2006-10-15,0.011999285850379904,
2006-10-22,0.0015368522613374846,
2006-10-29,0.007819514531876237,
2006-11-05,-0.00993415129896813,
2006-11-12,0.012450772238286945,
2006-11-19,0.015769143157095877,
2006-11-26,-0.0004979120808821236,
2006-12-03,-0.0009264686816711221,
2006-12-10,0.0085580403512453,
2006-12-17,0.012113045185099258,
2006-12-24,-0.0111700813481459,
2006-12-31,0.006181317513217488,
2007-01-07,-0.007626434186979281,
2007-01-14,0.019211873652217992,
2007-01-21,-0.0029323312268739743,
2007-01-28,-0.004831373153732055,
2007-02-04,0.018855858939495374,
2007-02-11,-0.00600749007048329,
2007-02-18,0.012435932383482395,
2007-02-25,-0.0029507705154709907,
2007-03-04,-0.04562996982384959,
2007-03-11,0.01521625251446368,
2007-03-18,-0.012079744087811983,
2007-03-25,0.03508320908209406,
2007-04-01,-0.009694619815926009,
2007-04-08,0.01577522321863012,
2007-04-15,0.007487628630571175,
