Date,SPY,BND
2005-01-16,79.99012756347656,
2005-01-23,79.00241088867188,
2005-01-30,79.44215393066406,
2005-02-06,81.33639526367188,
2005-02-13,81.7016830444336,
2005-02-20,81.44464111328125,
2005-02-27,82.148193359375,
2005-03-06,83.02764129638672,
2005-03-13,81.44464111328125,
2005-03-20,80.50809478759766,
2005-03-27,79.55722045898438,
2005-04-03,79.7541732788086,
2005-04-10,80.14130401611328,
2005-04-17,77.52651977539062,
2005-04-24,78.49093627929688,
2005-05-01,78.6131820678711,
2005-05-08,79.52328491210938,
2005-05-15,78.59281921386719,
2005-05-22,80.90196990966797,
2005-05-29,81.66942596435547,
2005-06-05,81.6015625,
2005-06-12,81.63546752929688,
2005-06-19,82.75598907470703,
2005-06-26,81.13304138183594,
2005-07-03,81.50804138183594,
2005-07-10,82.72870635986328,
2005-07-17,83.76519012451172,
2005-07-24,84.24251556396484,
2005-07-31,84.37887573242188,
2005-08-07,83.7924575805664,
2005-08-14,83.91522216796875,
2005-08-21,83.51290893554688,
2005-08-28,82.3468246459961,
2005-09-04,83.37651062011719,
2005-09-11,84.9653549194336,
2005-09-18,84.57373809814453,
2005-09-25,83.16304016113281,
2005-10-02,84.25872039794922,
2005-10-09,81.90982818603516,
2005-10-16,81.26606750488281,
2005-10-23,80.89631652832031,
2005-10-30,82.03993225097656,
2005-11-06,83.621826171875,
2005-11-13,84.7518081665039,
2005-11-20,85.68993377685547,
2005-11-27,87.05958557128906,
2005-12-04,86.86785888671875,
2005-12-11,86.51173400878906,
2005-12-18,86.99097442626953,
2005-12-25,87.26634979248047,
2006-01-01,85.71741485595703,
2006-01-08,88.42294311523438,
2006-01-15,88.58816528320312,
2006-01-22,86.72247314453125,
2006-01-29,88.49177551269531,
2006-02-05,86.92901611328125,
2006-02-12,87.18372344970703,
2006-02-19,88.67765808105469,
2006-02-26,89.09075164794922,
2006-03-05,88.64322662353516,
2006-03-12,88.52619171142578,
2006-03-19,90.28132629394531,
2006-03-26,89.99796295166016,
2006-04-02,89.73529815673828,
2006-04-09,89.53485870361328,
2006-04-16,88.96118927001953,
2006-04-23,90.64765930175781,
2006-04-30,90.86883544921875,
2006-05-07,91.59458923339844,
2006-05-14,89.32750701904297,
2006-05-21,87.8483657836914,
2006-05-28,88.73310089111328,
2006-06-04,89.16163635253906,
2006-06-11,86.63880920410156,
2006-06-18,86.53580474853516,
2006-06-25,86.39005279541016,
2006-07-02,88.36162567138672,
2006-07-09,87.896484375,
2006-07-16,85.75133514404297,
2006-07-23,86.04985809326172,
2006-07-30,88.84762573242188,
2006-08-06,89.00031280517578,
2006-08-13,88.17422485351562,
2006-08-20,90.7289810180664,
2006-08-27,90.11807250976562,
2006-09-03,91.23577117919922,
2006-09-10,90.44434356689453,
2006-09-17,92.0135498046875,
2006-09-24,91.6718521118164,
2006-10-01,93.14314270019531,
2006-10-08,94.14025115966797,
2006-10-15,95.26986694335938,
2006-10-22,95.4162826538086,
2006-10-29,96.16239166259766,
2006-11-05,95.20709991455078,
2006-11-12,96.39250183105469,
2006-11-19,97.91252899169922,
2006-11-26,97.86377716064453,
2006-12-03,97.77310943603516,
2006-12-10,98.60985565185547,
2006-12-17,99.8043212890625,
2006-12-24,98.68949890136719,
2006-12-31,99.29953002929688,
2007-01-07,98.54222869873047,
2007-01-14,100.43540954589844,
2007-01-21,100.14089965820312,
2007-01-28,99.6570816040039,
2007-02-04,101.53620147705078,
2007-02-11,100.92622375488281,
2007-02-18,102.18133544921875,
2007-02-25,101.87982177734375,
2007-03-04,97.23104858398438,
2007-03-11,98.71054077148438,
2007-03-18,97.51814270019531,
2007-03-25,100.93939208984375,
2007-04-01,99.96082305908203,
2007-04-08,101.53772735595703,
2007-04-15,102.29800415039062,41.17927169799805
2007-04-22,104.6209945678711,41.37164306640625
2007-04-29,105.26158905029297,41.360660552978516
